"assignment","cluster","id","microbetag::cluster","name","selected","shared name","value"
"strong","1.0","JQ460426.1.1380","1","JQ460426.1.1380","false","JQ460426.1.1380","JQ460426.1.1380"
"strong","0.0","JQ473894.1.1355","0","JQ473894.1.1355","false","JQ473894.1.1355","JQ473894.1.1355"
"strong","0.0","JQ449934.1.1399","0","JQ449934.1.1399","false","JQ449934.1.1399","JQ449934.1.1399"
"strong","0.0","JQ476771.1.1426","0","JQ476771.1.1426","false","JQ476771.1.1426","JQ476771.1.1426"
"strong","0.0","HM303850.1.1335","0","HM303850.1.1335","false","HM303850.1.1335","HM303850.1.1335"
"strong","0.0","JQ467255.1.1254","0","JQ467255.1.1254","false","JQ467255.1.1254","JQ467255.1.1254"
"strong","1.0","JQ452022.1.1382","1","JQ452022.1.1382","false","JQ452022.1.1382","JQ452022.1.1382"
"strong","0.0","GU432133.1.1216","0","GU432133.1.1216","false","GU432133.1.1216","GU432133.1.1216"
"strong","0.0","JQ449272.1.1394","0","JQ449272.1.1394","false","JQ449272.1.1394","JQ449272.1.1394"
"strong","1.0","JQ451975.1.1393","1","JQ451975.1.1393","false","JQ451975.1.1393","JQ451975.1.1393"
"strong","0.0","HM270674.1.1344","0","HM270674.1.1344","false","HM270674.1.1344","HM270674.1.1344"
"strong","0.0","JQ455165.1.1400","0","JQ455165.1.1400","false","JQ455165.1.1400","JQ455165.1.1400"
"strong","0.0","JQ447930.1.1414","0","JQ447930.1.1414","false","JQ447930.1.1414","JQ447930.1.1414"
"strong","0.0","JQ456243.1.1365","0","JQ456243.1.1365","false","JQ456243.1.1365","JQ456243.1.1365"
"strong","1.0","JQ452042.1.1274","1","JQ452042.1.1274","false","JQ452042.1.1274","JQ452042.1.1274"
"strong","0.0","HQ795879.1.1416","0","HQ795879.1.1416","false","HQ795879.1.1416","HQ795879.1.1416"
"strong","0.0","JQ455212.1.1382","0","JQ455212.1.1382","false","JQ455212.1.1382","JQ455212.1.1382"
"strong","0.0","ET632854.1.1312","0","ET632854.1.1312","false","ET632854.1.1312","ET632854.1.1312"
"strong","1.0","EU466029.1.1389","1","EU466029.1.1389","false","EU466029.1.1389","EU466029.1.1389"
"strong","1.0","EU465522.1.1312","1","EU465522.1.1312","false","EU465522.1.1312","EU465522.1.1312"
"strong","0.0","JQ472210.1.1377","0","JQ472210.1.1377","false","JQ472210.1.1377","JQ472210.1.1377"
"strong","1.0","JF059998.1.1357","1","JF059998.1.1357","false","JF059998.1.1357","JF059998.1.1357"
"strong","1.0","KC203059.1.1393","1","KC203059.1.1393","false","KC203059.1.1393","KC203059.1.1393"
"strong","1.0","DQ003614.1.1445","1","DQ003614.1.1445","false","DQ003614.1.1445","DQ003614.1.1445"
"strong","1.0","HQ811529.1.1477","1","HQ811529.1.1477","false","HQ811529.1.1477","HQ811529.1.1477"
"strong","1.0","FJ976291.1.1372","1","FJ976291.1.1372","false","FJ976291.1.1372","FJ976291.1.1372"
"strong","1.0","JQ467246.1.1406","1","JQ467246.1.1406","false","JQ467246.1.1406","JQ467246.1.1406"
"strong","0.0","FJ470489.1.1508","0","FJ470489.1.1508","false","FJ470489.1.1508","FJ470489.1.1508"
"strong","0.0","JQ451976.1.1418","0","JQ451976.1.1418","false","JQ451976.1.1418","JQ451976.1.1418"
"strong","0.0","JQ462185.1.1405","0","JQ462185.1.1405","false","JQ462185.1.1405","JQ462185.1.1405"
"strong","0.0","JQ466233.1.1394","0","JQ466233.1.1394","false","JQ466233.1.1394","JQ466233.1.1394"
"strong","0.0","JQ469590.1.1396","0","JQ469590.1.1396","false","JQ469590.1.1396","JQ469590.1.1396"
"strong","1.0","JF146311.1.1361","1","JF146311.1.1361","false","JF146311.1.1361","JF146311.1.1361"
"strong","1.0","AY560519.1.1489","1","AY560519.1.1489","false","AY560519.1.1489","AY560519.1.1489"
"strong","1.0","DQ003617.1.1444","1","DQ003617.1.1444","false","DQ003617.1.1444","DQ003617.1.1444"
"strong","1.0","GQ423480.1.1469","1","GQ423480.1.1469","false","GQ423480.1.1469","GQ423480.1.1469"
"strong","1.0","JQ470925.1.1396","1","JQ470925.1.1396","false","JQ470925.1.1396","JQ470925.1.1396"
"strong","1.0","JQ468072.1.1397","1","JQ468072.1.1397","false","JQ468072.1.1397","JQ468072.1.1397"
"strong","0.0","FJ773363.1.1428","0","FJ773363.1.1428","false","FJ773363.1.1428","FJ773363.1.1428"
"strong","0.0","FJ470462.1.1472","0","FJ470462.1.1472","false","FJ470462.1.1472","FJ470462.1.1472"
"strong","1.0","FJ976245.1.1380","1","FJ976245.1.1380","false","FJ976245.1.1380","FJ976245.1.1380"
"strong","1.0","JQ472884.1.1384","1","JQ472884.1.1384","false","JQ472884.1.1384","JQ472884.1.1384"
"strong","0.0","GU410771.1.1431","0","GU410771.1.1431","false","GU410771.1.1431","GU410771.1.1431"
"strong","0.0","JQ453211.1.1399","0","JQ453211.1.1399","false","JQ453211.1.1399","JQ453211.1.1399"
"strong","0.0","GU561337.1.1377","0","GU561337.1.1377","false","GU561337.1.1377","GU561337.1.1377"
"strong","0.0","GQ039190.1.1362","0","GQ039190.1.1362","false","GQ039190.1.1362","GQ039190.1.1362"
"strong","0.0","AFQU01000001.1150504.1152003","0","AFQU01000001.1150504.1152003","false","AFQU01000001.1150504.1152003","AFQU01000001.1150504.1152003"
"strong","0.0","JF231414.1.1363","0","JF231414.1.1363","false","JF231414.1.1363","JF231414.1.1363"
"strong","0.0","FM997297.1.1423","0","FM997297.1.1423","false","FM997297.1.1423","FM997297.1.1423"
"strong","0.0","JQ462593.1.1406","0","JQ462593.1.1406","false","JQ462593.1.1406","JQ462593.1.1406"
"strong","1.0","JQ467446.1.1433","1","JQ467446.1.1433","false","JQ467446.1.1433","JQ467446.1.1433"
"strong","1.0","HQ781899.1.1453","1","HQ781899.1.1453","false","HQ781899.1.1453","HQ781899.1.1453"
"strong","1.0","JN379060.1.1513","1","JN379060.1.1513","false","JN379060.1.1513","JN379060.1.1513"
"strong","0.0","AY947497.1.1427","0","AY947497.1.1427","false","AY947497.1.1427","AY947497.1.1427"
"strong","1.0","JF141751.1.1347","1","JF141751.1.1347","false","JF141751.1.1347","JF141751.1.1347"
"strong","0.0","GQ158073.1.1400","0","GQ158073.1.1400","false","GQ158073.1.1400","GQ158073.1.1400"
"strong","1.0","KF691779.1.1235","1","KF691779.1.1235","false","KF691779.1.1235","KF691779.1.1235"
"strong","0.0","JQ469968.1.1402","0","JQ469968.1.1402","false","JQ469968.1.1402","JQ469968.1.1402"
"strong","0.0","EU763160.1.1358","0","EU763160.1.1358","false","EU763160.1.1358","EU763160.1.1358"
"strong","0.0","JQ449939.1.1404","0","JQ449939.1.1404","false","JQ449939.1.1404","JQ449939.1.1404"
"strong","1.0","JF151848.1.1357","1","JF151848.1.1357","false","JF151848.1.1357","JF151848.1.1357"
